name,long,lat
1 OAK,-74.0062324,40.7439224
Avenue,-74.0064306,40.744093
The Copacabana Times Square,-73.9872589,40.760166
The Pyramid Club,-73.9839495,40.7258183
Good Room,-73.95291209999999,40.7269376
The Monster,-74.0021091,40.7334189
La Boom,-73.9042386,40.7539728
Mango Nightclub Times Square,-73.98717649999999,40.7600569
Hudson Terrace,-73.9976374,40.76401389999999
Spyce Astoria,-73.9152773,40.7602103
Groove,-74.0002232,40.7305855
Vodka Soda Bottoms Up,-73.988631,40.76033
Slavianskii Dom,-122.1653139,37.4185512
Bar in Zell am See,-122.1520042,37.416033
The Guild Theatre,-122.1812125,37.4524406
Menlo Park,-122.1840451,37.4502027
The Patio,-122.163868,37.4452193
Willis Lounge,-122.1587958,37.4211789
Calave,-122.143672,37.42746899999999
Fairclough Lounge,-122.1599885,37.4224104
Mandarin Roots,-122.13603,37.420276
Nola,-122.1613454,37.44503270000001
Scotty's Bar & Grill,-122.1619465,37.4439958
Tresidder Oak Lounge,-122.1710892,37.42456689999999
SliderBar Restaurant,-122.160984,37.446152
Antonio's Nut House,-122.1439693,37.4271149
[ESC],-122.1427593,37.4605555
Fuki Sushi,-122.1258056,37.4138709
Reposado,-122.1609435,37.4441504
Fleming’s Prime Steakhouse & Wine Bar,-122.1703059,37.4445671
The Old Pro,-122.1612954,37.4448897
Play Bar Night Club Waikiki,-157.8256535,21.2794118
Club Mermaid,-157.8302684,21.2816545
Hawaii By Night Gentlemen's Club,-157.8282196,21.2801123
SKY Waikiki,-157.8280296,21.278666
Addiction,-157.8391867,21.2849527
RumFire,-157.8302186,21.2771047
Ballarrinas Gentlemen's Club 18+,-157.8365368,21.2910604
Hula’s Bar and Lei Stand,-157.8217364,21.271826
Tapa's Restaurant & Lanai Bar,-157.8266801,21.2803697
Club Femme Nu,-157.8383958,21.2907435
Paradise Lounge,-157.8361509,21.2839491
Pupule Lounge,-157.8258444,21.2939251
R Bar & Lounge,-157.8326831,21.2867752
Chiko’s Tavern,-157.830506,21.294454
Wang Chung's Karaoke Bar,-157.824518,21.276251
In Between,-157.8296914,21.2807243
Spot Karaoke,-157.8381164,21.2853305
G S Studios,-157.8293479,21.2807186
The Veranda,-157.773651,21.271847
Maggir Herron Lewer's Lounge,-157.831808,21.2772604
Temple Nightclub Denver,-104.987007,39.73445
The Church Nightclub,-104.9857406,39.7349663
Beta Nightclub,-104.9955038,39.7537669
Tracks,-104.9744907,39.7677892
Charlie's Nightclub Denver,-104.9762972,39.739857
Milk,-104.9880659,39.7328271
Club Vinyl,-104.9871439,39.73354459999999
Marisela's Night Club,-105.0062358,39.7707537
Lit Nightclub,-105.00018,39.748104
La Rumba,-104.988586,39.730595
Onyx ultra lounge,-104.9978529,39.7456387
El Diamante Club,-105.0282614,39.7112814
Phoenix Event Center,-105.0543583,39.7265964
Truth lounge,-105.0002014,39.7480235
Dorchester Social,-104.999707,39.748614
Terreno Macizo,-105.001304,39.7822052
Denver Halloween Party - Naughty Ball 2019,-104.9943851,39.7404096
The Hive Nightclub,-104.986502,39.734142
Bar Standard,-104.987608,39.732859
Nativ Lounge and Nightclub,-104.9858782,39.7350457
End Night Club,18.0700945,59.32997429999999
Café Opera,18.0707988,59.32966640000001
Solidaritet,18.0717636,59.3354823
Sturecompagniet,18.0734748,59.3364025
nightclub VIDA,18.0764335,59.333913
Estelle,18.0632759,59.3363544
Stockholm Pub Crawl,18.0719551,59.322565
Sense Stockholm,18.032429,59.33382520000001
Spy Bar,18.0721469,59.33651889999999
Huset Under Bron,18.0784837,59.30450069999999
Cosmopolitan Club,18.0610058,59.3411965
After Café bar & kök,18.071976,59.322655
Marquise Club,18.064192,59.3336921
LE!,18.0742012,59.332076
Fou Club,18.0751959,59.33310350000001
wonderful bar,18.076473,59.314857
The Color Farm,18.0927141,59.30758899999999
L8,18.0706941,59.33551840000001
Rose Club,18.0751959,59.33310350000001
Porslinsfabriken,18.0289296,59.34064559999999
Amorama Latin Night Club,-82.71437569999999,27.8946545
los dos plebes nightclub,-82.7294941,27.8997629
Waterin Trough,-82.728071,27.884118
Quench Lounge,-82.73042370000002,27.8924947
Babydolls Lounge,-82.7212217,27.8930297
VaPOUR Vape Kratom Kava,-82.6869632,27.8943955
Atlantis Gentlemens Club,-82.729851,27.877548
Gasoline Alley Cafe,-82.72949580000001,27.8996846
Oz Gentlemen's Club,-82.72267939999999,27.8952494
Big Storm Brewing Co.,-82.6996197,27.8874778
24K Gold Club,-82.7299072,27.9243495
Quality Inn & Suites St. Petersburg - Clearwater Airport,-82.683421,27.895714
The WingHouse of Largo,-82.7399968,27.8945708
Le Palace Clearwater 👑,-82.7197606,27.8888503
Angels Nude,-82.727594,27.903037
Retroclubnyc,-73.98880079999999,40.7582948
Lavo Nightclub,-73.97143009999999,40.7629192
TAO Downtown Nightclub,-74.00410769999999,40.7422842
Le Bain,-74.0079698,40.7408249
Doha Nightclub NYC,-73.933011,40.753056
Elevate Nightclub,-73.9964672,40.7597954
Marquee New York,-74.0028169,40.7500242
Rumpus Room,-73.9897503,40.72292789999999
1 OAK,-74.0062324,40.7439224
Avenue,-74.0064306,40.744093
The Copacabana Times Square,-73.9872589,40.760166
The Pyramid Club,-73.9839495,40.7258183
Good Room,-73.95291209999999,40.7269376
The Monster,-74.0021091,40.7334189
La Boom,-73.9042386,40.7539728
Mango Nightclub Times Square,-73.98717649999999,40.7600569
Hudson Terrace,-73.9976374,40.76401389999999
Spyce Astoria,-73.9152773,40.7602103
Groove,-74.0002232,40.7305855
Vodka Soda Bottoms Up,-73.988631,40.76033
Retroclubnyc,-73.98880079999999,40.7582948
Doha Nightclub NYC,-73.933011,40.753056
Le Bain,-74.0079698,40.7408249
Rumpus Room,-73.9897503,40.72292789999999
TAO Downtown Nightclub,-74.00410769999999,40.7422842
Marquee New York,-74.0028169,40.7500242
1 OAK,-74.0062324,40.7439224
Vandal Nightclub,-73.9934553,40.7212007
Avenue,-74.0064306,40.744093
The Pyramid Club,-73.9839495,40.7258183
The Monster,-74.0021091,40.7334189
La Boom,-73.9042386,40.7539728
Langston Night Club,-73.9558323,40.6795206
The Social Butterfly,-73.9650147,40.6814977
Groove,-74.0002232,40.7305855
Mission NYC,-73.99474219999999,40.7480006
GoldBar,-73.99711769999999,40.72037479999999
PHD Lounge,-74.00347909999999,40.7423311
Quantum,-73.99549139999999,40.6695845
Deseos Night Club,-73.91181329999999,40.7445347
Saddle Up Saloon & Dancehall,-86.0584056,39.9070527
Paul cornwell,-86.0951839,39.9489283
Ocean Prime,-86.10563770000002,39.9115519
Kip's Pub,-86.06918209999999,39.926159
Epic Ultra Lounge,-86.0570515,39.9067063
Tantrum Indianapolis,-86.0570515,39.9067063
The Yard Line Lounge,-86.0557675,39.90649639999999
Twin Peaks Indianapolis,-86.04751739999999,39.90627990000001
Seasons 52,-86.11192899999999,39.912949
Ale Emporium,-86.0721952,39.9133315
Hooters,-86.05606829999999,39.9065365
The Clubhouse Bistro,-122.2769085,37.5622822
Roberto Lee Shipping,-122.3139879,37.55031
Vinyl Room,-122.3461701,37.5775
The Lariat Tavern,-122.2722226,37.5169765
Flights 101 Club Lounge,-122.3706105,37.6025048
Nick Foster Entertainment,-122.3651314,37.5903496
