name,long,lat
Rosario's Pub,-113.5243147,53.55332190000001
Underground Tap & Grill,-113.4906625,53.5412858
Fionn MacCool's,-113.4957371,53.5433483
Urban Tavern YEG,-113.521634,53.5412782
Towers,-113.5032236,53.5465581
Red Star Pub,-113.5021013,53.5411323
Three Vikings,-113.535382,53.551462
Brewsters Oliver Square,-113.521668,53.547002
Mercer Tavern,-113.49895,53.5460687
The Canadian Brewhouse,-113.509971,53.54590899999999
O2's,-113.5118698,53.5411748
Beer Revolution Oliver Square,-113.5235734,53.546512
The Pint Public House,-113.5080366,53.5416279
Thrift Shop,-113.4976518,53.54446489999999
Fox Cub Spennymoor,-1.5692685,54.7048395
The Green Tree 1727,-1.596254,54.7139621
The Grand Electric Hall,-1.600239,54.699619
The Black Horse Inn & Pitman’s Grill Restaurant,-1.5886969,54.7138821
The White Horse,-1.5555178,54.68921899999999
The Brewers Arms,-1.6010291,54.6994717
Coach & Horses,-1.57112,54.7148039
The Frog & Ferret,-1.5861687,54.6985946
The Penny Gill,-1.600384,54.6999807
Quinns Inn,-1.6037712,54.69799190000001
Post Boy,-1.5568076,54.6892605
The Victoria - The Tadcaster Pub Company,-1.6030931,54.69987099999999
The Railway,-1.6048458,54.6972904
The Winning Post,-1.5910436,54.6959287
The Moors Tavern,-1.5994835,54.7021005
Victoria Inn,-1.603928,54.7005956
The Grand Electric Hall,-1.6000173,54.69987039999999
The Greyhound,-1.5565685,54.6890014
The Dean & Chapter,-1.5580368,54.6884543
The Voltigeur,-1.6042405,54.6992276
Antonio's Nut House,-122.1439693,37.4271149
The Rose & Crown,-122.1617461,37.4444157
Dan Gordon's,-122.160964,37.4434083
Scotty's Bar & Grill,-122.1619465,37.4439958
Terún,-122.1453991,37.4259206
Calave,-122.143672,37.42746899999999
The Fish Market - Palo Alto,-122.1389221,37.4209732
4290 Bistro & Bar,-122.1216752,37.4058083
Gravity Bistro,-122.1620763,37.4439995
Tacolicious,-122.161034,37.4433231
Gott's Roadside,-122.1599009,37.4378824
Reposado,-122.1609435,37.4441504
Dinah's Poolside Restaurant,-122.119945,37.407544
The Sea by Alexander's Steakhouse,-122.1205417,37.4075646
BREW'd craft pub,-157.8022534,21.2842388
Champs | Hawaii Best Sports Bar,-157.8018704,21.2840062
Pints Pub- British Gastro Brewpub & Restaurant,-104.9908527,39.7369726
Nallen's Irish Pub,-105.0002827,39.7485387
Pub on Penn,-104.9808679,39.7367433
The Rackhouse,-104.9840657,39.762923
The Celtic on Market & Off Track Betting,-105.0004701,39.74801069999999
The Pour House Pub,-105.0002915,39.7486658
Freshcraft,-104.999693,39.7499645
Scruffy Murphy's,-104.99192,39.7533052
Rock Bottom Restaurant & Brewery,-104.9947849,39.7475282
Bierstadt Lagerhaus,-104.9840373,39.76281609999999
Falling Rock Tap House,-104.995468,39.75392920000001
Thirsty Lion Gastropub - Union Station,-105.0009258,39.7523187
The British Bulldog,-104.987097,39.750176
The Greedy Hamster,-104.9914505,39.7411553
Jefferson Park Pub,-105.0237799,39.7532974
Colorado Social (formerly Peak Pub House),-105.0078476,39.7492798
Next Door American Eatery | Union Station,-105.0007581,39.7527928
Blake Street Tavern,-104.9904194,39.7575033
Whiskey Room,-104.9901276,39.7550703
Toucan Pub,-105.0076079,39.7482385
Wirströms Pub,18.0684172,59.3248633
Pub Anchor,18.0584713,59.3412669
O’Connell’s Irish Pub,18.069087,59.3244329
Pickwick Restaurang & Pub,18.0663622,59.3291948
The Auld Dub,18.0614292,59.3354873
The Bishops Arms,18.0574654,59.33214330000001
Copperfields,18.0323939,59.3338103
Churchill Arms Stockholm,18.061043,59.34327
Galway's,18.0672149,59.3360983
The Liffey,18.0703054,59.32346639999999
Pub Stringfellows,18.0376244,59.34185850000001
The Flying Horse,18.0569611,59.34456220000001
Man in the Moon,18.063895,59.34069590000001
Old George Inn,18.0440908,59.3301965
Dovas restaurang och pub,18.0329918,59.3355905
Spitfire,18.068947,59.33794899999999
Restaurang M5 HB,18.066443,59.3306346
Mackinlays Inn,18.0317683,59.3343477
Molly Malone's,18.0478866,59.3419618
The Doors,18.0593281,59.3447912
Birdie's Pub,-82.71722129999999,27.9169491
Aviators Tavern,-82.6824493,27.8949779
Mugs Sports Bar and Grill,-82.71405949999999,27.8953436
The Breakroom Bar & Grill,-82.711653,27.895277
Average Joe's Sports Bar & Grille,-82.714125,27.9168803
Amorama Latin Night Club,-82.71437569999999,27.8946545
Bascom's Chop House,-82.68382489999999,27.8946067
Mike's Pizza & Deli Station,-82.7008412,27.8950585
Campanella's Bar & Grill,-82.6825238,27.8930971
Randolph Beer WBURG,-73.9633474,40.712005
Banter Bar,-73.957301,40.7121963
Irene's Pub,-73.9509644,40.7236104
Connie O's,-73.9480706,40.7265458
The Brew Inn,-73.95416689999999,40.731043
Pub,-73.9633911,40.71852519999999
The Craic,-73.9550328,40.7185541
Keg & Lantern Brewing Company,-73.9503414,40.7240508
Kent Ale House,-73.95923479999999,40.7223506
Black Rabbit,-73.9566243,40.7301037
O'Hanlons,-73.9829316,40.7316636
The Bedford,-73.9555259,40.720019
St. Dymphna's,-73.9835768,40.7264391
Alphabet City Beer Co.,-73.9788885,40.7236712
Five Leaves,-73.951628,40.72372170000001
Barcade,-73.9510463,40.7120659
Rebecca's,-73.9342492,40.698218
Soft Spot,-73.95622759999999,40.71943110000001
The Gibson,-73.9554295,40.720252
Brooklyn Brewery,-73.9577086,40.7217625
Jameson's,-73.9679685,40.7559606
Stout NYC ~ Grand Central,-73.97899919999999,40.7517066
Judge Roy Bean Public House,-73.9764199,40.76299520000001
Annie Moore's,-73.9803708,40.7521369
George Keeley,-73.976001,40.7858376
Trinity Pub,-73.9537473,40.7771031
Carlow East,-73.956412,40.778633
Murphy's,-73.96801490000001,40.7560519
Peter Dillon's Pub,-73.97681229999999,40.7499687
Dylan Murphy's,-73.95548099999999,40.776298
Finnegan's Wake,-73.95561359999999,40.7686334
Baker Street Pub,-73.9599242,40.7621332
Pig N Whistle on 3rd,-73.96840569999999,40.7593596
The Dead Poet,-73.9773209,40.78496080000001
Malachy's Donegal Inn,-73.9789887,40.7777551
Murphy's Law,-73.9556642,40.7661707
Caledonia Bar,-73.95317720000001,40.7763038
St. James Gate,-73.97711869999999,40.78449699999999
Niall's on 52nd,-73.96907689999999,40.7566028
The Perfect Pint,-73.97265519999999,40.7526651
Antonio's Nut House,-122.1439693,37.4271149
The Rose & Crown,-122.1617461,37.4444157
Dan Gordon's,-122.160964,37.4434083
Scotty's Bar & Grill,-122.1619465,37.4439958
Terún,-122.1453991,37.4259206
Calave,-122.143672,37.42746899999999
The Fish Market - Palo Alto,-122.1389221,37.4209732
4290 Bistro & Bar,-122.1216752,37.4058083
Gravity Bistro,-122.1620763,37.4439995
Tacolicious,-122.161034,37.4433231
Gott's Roadside,-122.1599009,37.4378824
Reposado,-122.1609435,37.4441504
Dinah's Poolside Restaurant,-122.119945,37.407544
The Sea by Alexander's Steakhouse,-122.1205417,37.4075646
BREW'd craft pub,-157.8022534,21.2842388
Champs | Hawaii Best Sports Bar,-157.8018704,21.2840062
Pints Pub- British Gastro Brewpub & Restaurant,-104.9908527,39.7369726
Nallen's Irish Pub,-105.0002827,39.7485387
Pub on Penn,-104.9808679,39.7367433
The Rackhouse,-104.9840657,39.762923
The Celtic on Market & Off Track Betting,-105.0004701,39.74801069999999
The Pour House Pub,-105.0002915,39.7486658
Freshcraft,-104.999693,39.7499645
Scruffy Murphy's,-104.99192,39.7533052
Rock Bottom Restaurant & Brewery,-104.9947849,39.7475282
Bierstadt Lagerhaus,-104.9840373,39.76281609999999
Falling Rock Tap House,-104.995468,39.75392920000001
Thirsty Lion Gastropub - Union Station,-105.0009258,39.7523187
The British Bulldog,-104.987097,39.750176
The Greedy Hamster,-104.9914505,39.7411553
Jefferson Park Pub,-105.0237799,39.7532974
Colorado Social (formerly Peak Pub House),-105.0078476,39.7492798
Next Door American Eatery | Union Station,-105.0007581,39.7527928
Blake Street Tavern,-104.9904194,39.7575033
Whiskey Room,-104.9901276,39.7550703
Toucan Pub,-105.0076079,39.7482385
Wirströms Pub,18.0684172,59.3248633
Pub Anchor,18.0584713,59.3412669
O’Connell’s Irish Pub,18.069087,59.3244329
Pickwick Restaurang & Pub,18.0663622,59.3291948
The Auld Dub,18.0614292,59.3354873
The Bishops Arms,18.0574654,59.33214330000001
Copperfields,18.0323939,59.3338103
Churchill Arms Stockholm,18.061043,59.34327
Galway's,18.0672149,59.3360983
The Liffey,18.0703054,59.32346639999999
Pub Stringfellows,18.0376244,59.34185850000001
The Flying Horse,18.0569611,59.34456220000001
Man in the Moon,18.063895,59.34069590000001
Old George Inn,18.0440908,59.3301965
Dovas restaurang och pub,18.0329918,59.3355905
Spitfire,18.068947,59.33794899999999
Restaurang M5 HB,18.066443,59.3306346
Mackinlays Inn,18.0317683,59.3343477
Molly Malone's,18.0478866,59.3419618
The Doors,18.0593281,59.3447912
Birdie's Pub,-82.71722129999999,27.9169491
Aviators Tavern,-82.6824493,27.8949779
Mugs Sports Bar and Grill,-82.71405949999999,27.8953436
The Breakroom Bar & Grill,-82.711653,27.895277
Average Joe's Sports Bar & Grille,-82.714125,27.9168803
Amorama Latin Night Club,-82.71437569999999,27.8946545
Bascom's Chop House,-82.68382489999999,27.8946067
Mike's Pizza & Deli Station,-82.7008412,27.8950585
Campanella's Bar & Grill,-82.6825238,27.8930971
Jameson's,-73.9679685,40.7559606
Stout NYC ~ Grand Central,-73.97899919999999,40.7517066
Judge Roy Bean Public House,-73.9764199,40.76299520000001
Annie Moore's,-73.9803708,40.7521369
George Keeley,-73.976001,40.7858376
Trinity Pub,-73.9537473,40.7771031
Carlow East,-73.956412,40.778633
Murphy's,-73.96801490000001,40.7560519
Peter Dillon's Pub,-73.97681229999999,40.7499687
Dylan Murphy's,-73.95548099999999,40.776298
Finnegan's Wake,-73.95561359999999,40.7686334
Baker Street Pub,-73.9599242,40.7621332
Pig N Whistle on 3rd,-73.96840569999999,40.7593596
The Dead Poet,-73.9773209,40.78496080000001
Malachy's Donegal Inn,-73.9789887,40.7777551
Murphy's Law,-73.9556642,40.7661707
Caledonia Bar,-73.95317720000001,40.7763038
St. James Gate,-73.97711869999999,40.78449699999999
Niall's on 52nd,-73.96907689999999,40.7566028
The Perfect Pint,-73.97265519999999,40.7526651
Randolph Beer WBURG,-73.9633474,40.712005
Banter Bar,-73.957301,40.7121963
Irene's Pub,-73.9509644,40.7236104
Connie O's,-73.9480706,40.7265458
The Brew Inn,-73.95416689999999,40.731043
Pub,-73.9633911,40.71852519999999
The Craic,-73.9550328,40.7185541
Keg & Lantern Brewing Company,-73.9503414,40.7240508
Kent Ale House,-73.95923479999999,40.7223506
Black Rabbit,-73.9566243,40.7301037
O'Hanlons,-73.9829316,40.7316636
The Bedford,-73.9555259,40.720019
St. Dymphna's,-73.9835768,40.7264391
Alphabet City Beer Co.,-73.9788885,40.7236712
Five Leaves,-73.951628,40.72372170000001
Barcade,-73.9510463,40.7120659
Rebecca's,-73.9342492,40.698218
Soft Spot,-73.95622759999999,40.71943110000001
The Gibson,-73.9554295,40.720252
Brooklyn Brewery,-73.9577086,40.7217625
Ale Emporium,-86.0721952,39.9133315
Alibi's Grill,-86.045555,39.88833
Northside Bar & Grill,-86.0466402,39.8915863
Joe's Grille,-86.0526019,39.9043449
The Free Spirit,-86.0611747,39.9116787
Hooters,-86.05606829999999,39.9065365
Twin Peaks Indianapolis,-86.04751739999999,39.90627990000001
The Yard Line Lounge,-86.0557675,39.90649639999999
The Melting Pot,-86.072183,39.912817
Outback Steakhouse,-86.06948760000002,39.9118929
Applebee's Grill + Bar,-86.06199260000001,39.9058791
Red Lobster,-86.057396,39.905847
Buffalo Wild Wings,-86.07279539999999,39.9102238
Fazoli's,-86.0556964,39.9057366
O'Neills Irish Pub,-122.3243616,37.5671561
Original Nick's Pizzeria & Pub,-122.318084,37.555584
The Swingin' Door,-122.3045991,37.545086
Mc Govern's Bar,-122.3220992,37.5645241
31st Union,-122.3248422,37.5670756
Moons Family Sports Pub,-122.3229116,37.5661192
Grape & Grain,-122.3243753,37.5648376
3rd Ave Sports Bar & Grill,-122.3246896,37.5640753
Mortar & Pestle Bar,-122.3234876,37.5669296
Paddy Flynn's,-122.3454297,37.5787241
